epoch,acc,loss,mean_absolute_error,val_acc,val_loss,val_mean_absolute_error
0,0.266826923077,0.193056013722,0.341262631118,0.284375,0.179894243181,0.347167930007
1,0.311814860254,0.163460026669,0.30263080692,0.192429022388,0.171700160492,0.310181052715
2,0.344701583453,0.15827804675,0.297209733514,0.419558356989,0.15768010402,0.305880976964
3,0.51278928209,0.135508268019,0.262593644037,0.416403785677,0.153245220237,0.256140208677
4,0.590742996382,0.11700522141,0.224032129534,0.435331229814,0.126864849299,0.21977896288
5,0.600487211227,0.106662332113,0.206879384625,0.555205048823,0.121811222884,0.196392999745
6,0.668696711836,0.0983350029925,0.194971070783,0.760252368375,0.0868895525342,0.17367103536
7,0.75395858767,0.0839439649838,0.174156666201,0.753943216725,0.074615932578,0.135165748536
8,0.778319123456,0.0729345973404,0.140701376963,0.719242900328,0.0785620471092,0.137626987385
9,0.771010962532,0.0686090962369,0.133556784479,0.791798104623,0.0630358979576,0.10281594201
10,0.791717418074,0.0639257320769,0.120436498267,0.763406940815,0.0665928177206,0.108639594485
11,0.769792935735,0.06628022401,0.122596010575,0.75625,0.0635843295604,0.0984013549984
12,0.781973203556,0.0635889712335,0.121918032316,0.776025239037,0.0644718543729,0.0950178328185
13,0.79049939135,0.0613754425747,0.116745489088,0.779179809785,0.0628190578346,0.0932259385236
14,0.794153471812,0.0579003750479,0.107075051689,0.757097790482,0.0673109518617,0.0986881213092
15,0.773447016125,0.0682311077646,0.11636643079,0.697160880648,0.0916451402831,0.124210544941
16,0.775883069791,0.0619407888007,0.112464258436,0.760252368375,0.0640592194201,0.0961344109302
17,0.800243605722,0.0576690691915,0.105553685775,0.78233438561,0.0667752121995,0.0961614524716
18,0.799025578998,0.0605345300867,0.115283178063,0.772870663965,0.067574634725,0.10267584322
19,0.818514007599,0.0548912623713,0.0974735560919,0.817034698999,0.0553926877936,0.0873950676352
20,0.831912302434,0.0544806292346,0.100423345966,0.798107256273,0.0587936133052,0.0949139636868
21,0.818514007453,0.0565150959347,0.101406958517,0.826498423841,0.0514741236761,0.0783318696479
22,0.845310597051,0.0488182924434,0.0905280196257,0.825,0.052318510972,0.076950295642
23,0.852618758121,0.0474004380577,0.0884211787026,0.864353313055,0.0462262554312,0.0679685875115
24,0.851400730961,0.0504942642895,0.0924081328381,0.82965299929,0.051347956837,0.0776867696822
25,0.852618757685,0.046843696068,0.0820303725875,0.87066246132,0.0383496401649,0.0614811244776
26,0.857490865162,0.0451292207376,0.0803806274567,0.858044166106,0.0416871026828,0.0619996938185
27,0.866586538462,0.0438723267558,0.0807185981136,0.851735018217,0.0468539194048,0.065938711942
28,0.866017052593,0.0431474423338,0.0794880117736,0.864353314371,0.0436728946712,0.0625490577721
29,0.862362972421,0.0432822053365,0.0776365386837,0.839116718679,0.0461624743952,0.0654398907293
30,0.872107186576,0.0424957514562,0.0789230807472,0.829652997221,0.0516009846414,0.0751497461593
31,0.883069427673,0.0388072233888,0.0726701887721,0.842271292435,0.0529958212319,0.0724992223484
32,0.879415347355,0.0427119378976,0.078612788704,0.86119873723,0.0453133344274,0.0652964297999
33,0.886723507917,0.0372267940198,0.0657603008248,0.865625,0.0436918344349,0.0637130301446
34,0.858708891886,0.0448395568292,0.0765743607907,0.867507886811,0.0453957513163,0.0694089216013
35,0.874543240024,0.0406301428454,0.0728321131977,0.864353314747,0.0523424393935,0.0700575739662
36,0.88063337437,0.0397935230534,0.0745662993476,0.848580444085,0.0499424477951,0.0595865026586
37,0.866017052593,0.0460506594773,0.0798603460447,0.858044163098,0.0427181900535,0.0616586002219
38,0.87941534721,0.0391869637185,0.0732623668031,0.870662458876,0.0427617922731,0.0586394730497
39,0.929354445798,0.0281256515613,0.050051585331,0.873817033384,0.0429527340604,0.0586753273236
40,0.880633374079,0.0379420519601,0.0719868934528,0.870662463012,0.0425577731069,0.0571813385945
41,0.876979293835,0.035612425523,0.0644711156474,0.91482649673,0.0365504023122,0.0540909379345
42,0.900121802752,0.03549830211,0.0654143111261,0.880126185034,0.0425802705639,0.0560928094979
43,0.892813642045,0.0358382392579,0.0630041622533,0.870662457935,0.0459896958072,0.0667583240602
44,0.870889159779,0.0431383978553,0.0736394254865,0.88125,0.0438848329708,0.0616067986935
45,0.881851400803,0.0386313573547,0.0677600990477,0.886435331606,0.041767810962,0.0570486051968
46,0.890377588452,0.0359922925103,0.0669158983672,0.886435329914,0.042615640885,0.0596277789457
47,0.875761267038,0.0395958900778,0.0700995558453,0.839116719619,0.0525652327948,0.0769524913904
48,0.868453106331,0.0435278876872,0.0730200290553,0.867507886811,0.0524533202854,0.0712226319482
49,0.885505481411,0.037837845372,0.0671069329734,0.899053629829,0.0407238005652,0.0551209591729
50,0.87941534721,0.0363556664045,0.0633850176223,0.880126183717,0.0414298267136,0.0599284131632
51,0.890377588525,0.0363804152038,0.0662383344955,0.876971607893,0.0442697899152,0.0627957784133
52,0.890377588597,0.0362358987195,0.0644357244277,0.883280755782,0.0425391939677,0.0605030636471
53,0.891595615321,0.0326625503663,0.0609605808569,0.905362778094,0.0353474690805,0.0546523187227
54,0.894230769231,0.034355374268,0.0616557304389,0.880126181273,0.0421953168154,0.0592720486365
55,0.898903775883,0.0344688077111,0.0631269701052,0.9125,0.0351193917915,0.0511827606708
56,0.912302070791,0.0314812017979,0.0587531412054,0.902208204337,0.0374585949237,0.055747038676
57,0.890377588525,0.0347378017533,0.0609234048011,0.889589907807,0.0399430503228,0.054767542786
58,0.870889159779,0.0400174628857,0.0649003866202,0.899053629829,0.0355263288582,0.0474341014394
59,0.895249695711,0.0366925302253,0.0632478030678,0.880126182965,0.0408936270016,0.0564333573101
